#Parameters = {Centro=2.6764722367736e-15; Cetntro2=-1.5552542131904; Desloc=0.2; R=0.8; c=0.15; h=0.1; w=0.12}
#"Frequency / GHz"	"S1,1 (1) [Magnitude]"
#----------------------------------------
1.0000000000000	-0.0038972963741466
1.2990000000000	0.0000000000000
1.5980000000000	-9.6432746655329e-16
1.8970000000000	-9.6432746655329e-16
2.1960000000000	0.0000000000000
2.4950000000000	0.0000000000000
2.7940000000000	0.0000000000000
3.0930000000000	0.0000000000000
3.3920000000000	-9.6432746655329e-16
3.6910000000000	0.0000000000000
3.9900000000000	0.0000000000000
4.2890000000000	-9.6432746655329e-16
4.5880000000000	-9.6432746655329e-16
4.8870000000000	-9.6432746655329e-16
5.1860000000000	-9.6432746655329e-16
5.4850000000000	0.0000000000000
5.7840000000000	0.0000000000000
6.0830000000000	0.0000000000000
6.3820000000000	0.0000000000000
6.6810000000000	0.0000000000000
6.9800000000000	0.0000000000000
7.2790000000000	0.0000000000000
7.5780000000000	-9.6432746655329e-16
7.8770000000000	0.0000000000000
8.1760000000000	0.0000000000000
8.4750000000000	0.0000000000000
8.7740000000000	-9.6432746655329e-16
9.0730000000000	0.0000000000000
9.3720000000000	0.0000000000000
9.6710000000000	0.0000000000000
9.9700000000000	-9.6432746655329e-16
10.269000000000	-9.6432746655329e-16
10.568000000000	0.0000000000000
10.867000000000	0.0000000000000
11.166000000000	-9.6432746655329e-16
11.465000000000	0.0000000000000
11.764000000000	-9.6432746655329e-16
12.063000000000	-9.6432746655329e-16
12.362000000000	0.0000000000000
12.661000000000	-9.6432746655329e-16
12.960000000000	0.0000000000000
13.259000000000	0.0000000000000
13.558000000000	-9.6432746655329e-16
13.857000000000	0.0000000000000
14.156000000000	0.0000000000000
14.455000000000	0.0000000000000
14.754000000000	0.0000000000000
15.053000000000	-9.6432746655329e-16
15.352000000000	-0.025650127036010
15.651000000000	-0.36173920669891
15.950000000000	-0.69733454688737
16.249000000000	-1.0317998891676
16.548000000000	-1.3646163925892
16.847000000000	-1.6953664759302
17.146000000000	-2.0237192029709
17.445000000000	-2.3494172749415
17.744000000000	-2.6722655977574
18.043000000000	-2.9921213324194
18.342000000000	-3.3088853043769
18.641000000000	-3.6224946333834
18.940000000000	-3.9329164431681
19.239000000000	-4.2401425155416
19.538000000000	-4.5441847631792
19.837000000000	-4.8450714070867
20.136000000000	-5.1428437572327
20.435000000000	-5.4375535071361
20.734000000000	-5.7292604647859
21.033000000000	-6.0180306528744
21.332000000000	-6.3039347208243
21.631000000000	-6.5870466194643
21.930000000000	-6.8674424965186
22.229000000000	-7.1451997773889
22.528000000000	-7.4203964011355
22.827000000000	-7.6931101861939
23.126000000000	-7.9634183043106
23.425000000000	-8.2313968445226
23.724000000000	-8.4971204518359
24.023000000000	-8.7606620276484
24.322000000000	-9.0220924809755
24.621000000000	-9.2814805212370
24.920000000000	-9.5388924847901
25.219000000000	-9.7943921885977
25.518000000000	-10.048040805433
25.817000000000	-10.299896755868
26.116000000000	-10.550015613021
26.415000000000	-10.798450016630
26.714000000000	-11.045249593530
